风险等级,特征,SHAP_mean_abs
0,平均气温,0.0
0,相对湿度,0.0
0,降水量,0.021138535535878633
0,日照时数,0.17058066131600136
0,土壤湿度,0.0
0,风速,0.0
0,近7天病株数,1.5226080522841416
0,近7天虫口密度,0.0
0,近30天用药次数,0.0
0,THI_温湿胁迫,0.0
0,BTM_生物威胁动量,0.42197549452120486
0,PRI_抗药性预警,0.16690106704277824
0,LWI_光水滋养,0.0
0,果树品种_柑橘,0.0
0,果树品种_桃,0.0
0,果树品种_梨,0.0
0,果树品种_苹果,0.0
0,病虫害类型_0,0.0
0,病虫害类型_1,0.0
0,病虫害类型_2,0.0
0,病虫害类型_3,0.0
1,平均气温,0.0
1,相对湿度,0.05246276164282731
1,降水量,0.08193140764333755
1,日照时数,0.009409741137202603
1,土壤湿度,0.0031937827632060613
1,风速,0.00385151020723802
1,近7天病株数,0.4281987044737934
1,近7天虫口密度,0.0014344927792823655
1,近30天用药次数,0.0
1,THI_温湿胁迫,0.002162462824923689
1,BTM_生物威胁动量,0.1612348246789563
1,PRI_抗药性预警,0.03440044443945139
1,LWI_光水滋养,0.0
1,果树品种_柑橘,0.035460492609940455
1,果树品种_桃,0.0
1,果树品种_梨,0.0
1,果树品种_苹果,0.0
1,病虫害类型_0,0.0
1,病虫害类型_1,0.03221159333656926
1,病虫害类型_2,0.7055082258953609
1,病虫害类型_3,0.18238835823916705
2,平均气温,0.002619680810097814
2,相对湿度,0.03806989559610057
2,降水量,0.1922733551497617
2,日照时数,0.2919468194599132
2,土壤湿度,0.0
2,风速,0.012335370706176567
2,近7天病株数,0.0
2,近7天虫口密度,0.0010101065693837099
2,近30天用药次数,0.0
2,THI_温湿胁迫,0.0
2,BTM_生物威胁动量,0.00022753634031848934
2,PRI_抗药性预警,0.0004707698266811792
2,LWI_光水滋养,0.011103700713833903
2,果树品种_柑橘,0.0
2,果树品种_桃,0.0
2,果树品种_梨,0.0
2,果树品种_苹果,0.0
2,病虫害类型_0,0.0
2,病虫害类型_1,0.0
2,病虫害类型_2,0.0
2,病虫害类型_3,1.0454336208366184
