特征,Gain重要性,Split次数
近7天病株数,3689.370264422614,270
病虫害类型_3,2836.319378090764,259
病虫害类型_2,1690.7619852688522,195
BTM_生物威胁动量,995.0023987442255,83
降水量,926.6604455492197,76
日照时数,839.6552539787954,100
PRI_抗药性预警,244.51757514476776,33
相对湿度,178.12477003911044,36
病虫害类型_1,44.5361909866333,7
风速,10.140166237950325,8
THI_温湿胁迫,4.162280082702637,1
平均气温,1.6273599863052368,1
LWI_光水滋养,1.1589559949934483,10
果树品种_柑橘,0.9938999125733972,12
近7天虫口密度,0.11246199812740088,3
土壤湿度,0.02156483056023717,2
近30天用药次数,0.0,0
果树品种_苹果,0.0,0
果树品种_梨,0.0,0
果树品种_桃,0.0,0
病虫害类型_0,0.0,0
