Q_used,Efficacy,mid_dose,high_dose,window_only
727.2,0.8653333333333333,0.3,0.5,True
810.0,0.85,0.5,0.5,True
892.8,0.8346666666666667,0.7,0.5,True
968.4,0.8206666666666667,0.3,0.7,True
975.5999999999999,0.8193333333333334,0.9,0.5,True
1017.0,0.8116666666666666,1.0,0.5,True
1051.1999999999998,0.8053333333333333,0.5,0.7,True
1134.0,0.79,0.7,0.7,True
1216.7999999999997,0.7746666666666667,0.9,0.7,True
1258.1999999999998,0.767,1.0,0.7,True
1330.2,0.7536666666666667,0.3,1.0,True
1413.0,0.7383333333333333,0.5,1.0,True
1495.8,0.7230000000000001,0.7,1.0,True
1578.6,0.7076666666666667,0.9,1.0,True
1620.0,0.7,1.0,1.0,True
