地块ID,果树品种,病虫害类型,预测风险标签,POSI,在防治窗口内,最大风险概率
F1,苹果,1,中,0.44094811982667653,False,0.8880497608914979
F2,梨,3,高,0.5930811083343696,True,0.9366166713441326
F3,柑橘,0,低,0.4057418241012593,False,0.9658613564573703
F4,桃,3,高,0.7535372153451237,True,0.968987855024805
F5,苹果,1,低,0.4255951980217213,False,0.9684115106910433
F6,梨,2,中,0.48340893750660363,False,0.9741048883254468
F7,柑橘,0,低,0.41303426504440277,False,0.9658613564573703
F8,桃,3,高,0.6572669155310825,True,0.9670302292764168
F9,苹果,0,低,0.40137584931152376,False,0.971064135368376
F10,梨,2,中,0.44816059770135,False,0.9711661202369203
F11,柑橘,1,中,0.5323016762308848,False,0.9069248008763773
F12,桃,3,高,0.7771789596218801,True,0.9693654309383682
F13,苹果,1,低,0.4239630150963183,False,0.9705535565984498
F14,梨,0,低,0.3987787794291071,False,0.971064135368376
F15,柑橘,2,中,0.5982436336818864,True,0.9704326388926028
F16,桃,2,中,0.49029296685345886,False,0.9740154027006936
F17,苹果,3,高,0.7098540142978261,True,0.9690152180232763
F18,梨,0,低,0.40817417660018607,False,0.9706242846179829
F19,柑橘,1,低,0.4246059081924111,False,0.9627856411543949
F20,桃,2,中,0.5541188887952805,True,0.9735708728883191
F21,苹果,1,中,0.4531780930746888,False,0.8619385442253235
F22,梨,3,高,0.6634167121564839,True,0.9686885664717123
F23,柑橘,0,低,0.4058849661448145,False,0.9675896361944242
F24,桃,2,中,0.4428928508356832,False,0.9740154027006936
F25,苹果,3,高,0.7473011353485705,True,0.968814560196468
F26,梨,0,低,0.40063668782442396,False,0.9710499491592148
F27,柑橘,1,中,0.5408536966626637,False,0.9081686199408224
F28,桃,0,低,0.4064827263749324,False,0.9705424740498053
F29,苹果,2,中,0.4878008862965946,False,0.9740154027006936
F30,梨,3,高,0.7181239494471718,True,0.9693654309383682
F31,柑橘,1,低,0.42519947445345485,False,0.9627856411543949
F32,桃,0,低,0.40917234258822227,False,0.9705424740498053
F33,苹果,2,中,0.6027578887094055,True,0.9717395181724952
F34,梨,1,低,0.42429145633471327,False,0.9705535565984498
F35,柑橘,2,中,0.4823534754288082,False,0.9741048883254468
F36,桃,3,高,0.7954798256676869,True,0.969931620632116
F37,苹果,0,低,0.4022141997623648,False,0.971064135368376
F38,梨,1,中,0.4455053257773803,False,0.9036013255175447
F39,柑橘,1,低,0.42258222339000656,False,0.9625160692319071
F40,桃,3,高,0.66432443097723,True,0.9673860900225576
F41,苹果,2,中,0.5448522503723585,False,0.9739522281746718
F42,梨,0,低,0.403277554262341,False,0.971064135368376
F43,柑橘,2,中,0.4403184881809636,False,0.9741048883254468
F44,桃,0,低,0.3993398777134706,False,0.9716210565993083
F45,苹果,3,高,0.7076673926050217,True,0.9687222525876449
F46,梨,0,低,0.39870410313433635,False,0.9710499491592148
F47,柑橘,2,中,0.5968035154514235,True,0.9532540605365433
F48,桃,2,中,0.48755460299637543,False,0.9735708728883191
F49,苹果,0,低,0.4013355180916602,False,0.971064135368376
F50,梨,3,高,0.7527399333011242,True,0.968814560196468
